CV Accuracy, Train Accuracy, Test Accuracy
0.469985833627,0.475537668218,0.596333672808
0.476081361159,0.525121999801,0.3402617398
0.457386963286,0.515232482645,0.484110371075
0.474159207406,0.500391600176,0.518663641988
0.477586694883,0.508181591419,0.450984139117
0.466202444514,0.485740977481,0.452935222672
0.455713765528,0.496383052015,0.500403469841
0.473576647844,0.536112010763,0.469808966113
0.473619596385,0.513156269302,0.446285090765
0.473938562901,0.491810174188,0.482347140039
0.487319994541,0.501671994099,0.500809225167
0.467763445985,0.47955316672,0.492782087793
0.481403135083,0.506824340971,0.468994581577
0.478624132415,0.499887805729,0.347372451421
0.467048121482,0.486843411776,0.44421728972
0.469207413543,0.540021057271,0.396603190942
0.468740566818,0.515748989825,0.43877981845
0.462633662458,0.475010458449,0.531404375441
0.472392137468,0.457514578331,0.606446314925
0.463196138549,0.493678373383,0.459472998698
0.459287507814,0.532455731021,0.395568655351
0.471171101931,0.533534833762,0.43789793785
0.465516281234,0.52780718383,0.419643755661
0.477365777894,0.52255786583,0.423557101924
0.455612306991,0.51597730327,0.425390399075
0.486577792051,0.456461453134,0.59577594123
0.439551591003,0.467477979243,0.575568935606
0.460276191873,0.510892759665,0.410669007217
0.468457495444,0.495686118501,0.44984037922
0.465755765062,0.475428968737,0.504132231405
0.45603477018,0.490381805786,0.481977234401
0.467932147224,0.534884872493,0.4153059217
0.484098995452,0.509505234051,0.430461599682
0.474393118304,0.472314712048,0.536609729298
0.451487111648,0.5318388564,0.423354202239
0.468706635532,0.510758776897,0.400986113906
0.470830013135,0.507598784195,0.421721311475
0.454565596688,0.516368204547,0.36308866352
0.486635216282,0.517133800884,0.455238821623
0.451405358955,0.523135831324,0.457676308407
0.485816408242,0.500074947537,0.457351823708
0.485455660342,0.547815354234,0.327493529763
0.459417215828,0.525324423785,0.414937310852
0.473584260885,0.502487685955,0.504537555513
0.464382372379,0.492315432021,0.527821498009
0.453094219671,0.514122184895,0.479606595314
0.45834064789,0.505462852602,0.49076234928
0.455222442608,0.469541375872,0.523763894212
0.45606899492,0.510509096317,0.552791380999
0.483646899093,0.530521287336,0.38139768728
